task,precision,recall,f1,number,accuracy,language,model,corpus,subset,validation_duration,tokens,sentences
overall,0.002630993490225666,0.008711247758134769,0.004041394578290877,,0.6400368207577022,zh,zh_core_web_trf,wikiann,wikiann-zh.bio,611.328333,521445,25000
LOC,0.5151515151515151,0.8693181818181818,0.6469344608879493,176.0,,pt,pt_core_news_lg,harem,HAREM,1.231657,12941,342
MISC,0.32460732984293195,0.3522727272727273,0.33787465940054495,176.0,,pt,pt_core_news_lg,harem,HAREM,1.231657,12941,342
ORG,0.4186046511627907,0.4897959183673469,0.45141065830721006,147.0,,pt,pt_core_news_lg,harem,HAREM,1.231657,12941,342
PER,0.8613138686131386,0.7151515151515152,0.7814569536423841,330.0,,pt,pt_core_news_lg,harem,HAREM,1.231657,12941,342
overall,0.5599571734475375,0.6308805790108565,0.5933068633011912,,0.9287535739123716,pt,pt_core_news_lg,harem,HAREM,1.231657,12941,342
LOC,0.5154224407688869,0.6598806311830594,0.5787737540337039,12231.0,,pt,pt_core_news_lg,wikiann,wikiann-pt.bio,56.174295,160570,25000
MISC,0.0,0.0,0.0,0.0,,pt,pt_core_news_lg,wikiann,wikiann-pt.bio,56.174295,160570,25000
ORG,0.5130998702983138,0.19129593810444875,0.2786896794646002,10340.0,,pt,pt_core_news_lg,wikiann,wikiann-pt.bio,56.174295,160570,25000
PER,0.7068641769246818,0.7131880854646879,0.7100120500864463,9501.0,,pt,pt_core_news_lg,wikiann,wikiann-pt.bio,56.174295,160570,25000
overall,0.47469247263288566,0.524600897979546,0.49840037916938207,,0.6506383508750078,pt,pt_core_news_lg,wikiann,wikiann-pt.bio,56.174295,160570,25000
LOC,0.8122743682310469,0.8806262230919765,0.8450704225352113,511.0,,fi,fi_core_news_lg,finer,digitoday.2015.test,10.893479,46363,3512
MISC,0.45340501792114696,0.46422018348623856,0.4587488667271079,1090.0,,fi,fi_core_news_lg,finer,digitoday.2015.test,10.893479,46363,3512
ORG,0.7881149537262543,0.8610963278339542,0.8229908443540184,1879.0,,fi,fi_core_news_lg,finer,digitoday.2015.test,10.893479,46363,3512
PER,0.7195876288659794,0.8596059113300493,0.7833894500561167,406.0,,fi,fi_core_news_lg,finer,digitoday.2015.test,10.893479,46363,3512
overall,0.6946292775665399,0.7521873391662378,0.7222634049913516,,0.9545327092724802,fi,fi_core_news_lg,finer,digitoday.2015.test,10.893479,46363,3512
LOC,0.697937892248757,0.6632842757552285,0.6801699829222765,12910.0,,fi,fi_core_news_lg,wikiann,wikiann-fi.bio,67.849388,208477,25000
MISC,0.0,0.0,0.0,0.0,,fi,fi_core_news_lg,wikiann,wikiann-fi.bio,67.849388,208477,25000
ORG,0.5306316289377869,0.3286596725169134,0.40590942116735285,10199.0,,fi,fi_core_news_lg,wikiann,wikiann-fi.bio,67.849388,208477,25000
PER,0.757157926461724,0.7796570719217938,0.7682428041741525,12889.0,,fi,fi_core_news_lg,wikiann,wikiann-fi.bio,67.849388,208477,25000
overall,0.5957308307792455,0.6101450080560031,0.6028517710348993,,0.8517918043717053,fi,fi_core_news_lg,wikiann,wikiann-fi.bio,67.849388,208477,25000
LOC,0.8949070331447049,0.8970826580226904,0.8959935248887089,1234.0,,ca,ca_core_news_lg,ancora,ancora-ca-2.0,9.876229,81195,2472
MISC,0.8126195028680688,0.7870370370370371,0.7996237064910631,540.0,,ca,ca_core_news_lg,ancora,ancora-ca-2.0,9.876229,81195,2472
ORG,0.891640866873065,0.8966376089663761,0.8941322570630238,1606.0,,ca,ca_core_news_lg,ancora,ancora-ca-2.0,9.876229,81195,2472
PER,0.9596136962247586,0.9681133746678476,0.9638447971781304,1129.0,,ca,ca_core_news_lg,ancora,ancora-ca-2.0,9.876229,81195,2472
overall,0.9005316792202038,0.9015302727877578,0.90103069932395,,0.9877948149516595,ca,ca_core_news_lg,ancora,ancora-ca-2.0,9.876229,81195,2472
LOC,0.588382737576286,0.3618632707774799,0.4481241699867198,14920.0,,ca,ca_core_news_lg,wikiann,wikiann-ca.bio,54.577957,152634,25000
MISC,0.0,0.0,0.0,0.0,,ca,ca_core_news_lg,wikiann,wikiann-ca.bio,54.577957,152634,25000
ORG,0.239957378795951,0.34952661803507684,0.2845590093505181,6443.0,,ca,ca_core_news_lg,wikiann,wikiann-ca.bio,54.577957,152634,25000
PER,0.511740473738414,0.5787328208711856,0.5431788369042414,8586.0,,ca,ca_core_news_lg,wikiann,wikiann-ca.bio,54.577957,152634,25000
overall,0.38030376084860174,0.42138301779692144,0.3997909175866821,,0.6526986123668383,ca,ca_core_news_lg,wikiann,wikiann-ca.bio,54.577957,152634,25000
LOC,0.575043630017452,0.7592165898617511,0.6544190665342601,868.0,,it,it_core_news_lg,kind,WN,6.419624,56519,2088
MISC,0.0,0.0,0.0,0.0,,it,it_core_news_lg,kind,WN,6.419624,56519,2088
ORG,0.7703045685279187,0.48289578361177404,0.593643031784841,1257.0,,it,it_core_news_lg,kind,WN,6.419624,56519,2088
PER,0.8702175543885972,0.8393632416787264,0.85451197053407,1382.0,,it,it_core_news_lg,kind,WN,6.419624,56519,2088
overall,0.6238107482643354,0.6917593384659253,0.6560302866414278,,0.9453104265822113,it,it_core_news_lg,kind,WN,6.419624,56519,2088
