task,precision,recall,f1,number,accuracy,language,corpus,subset,validation_duration,tokens,sentences
overall,0.3635646687697161,0.4198542805100182,0.389687235841082,,0.9294010475973582,de,hipe,HIPE-data-v1.4-test-de,2.578262,30737,49
LOC,0.6650110864745011,0.5603048871618592,0.6081842884373606,13382.0,,de,wikiann,wikiann-de.bio,237.11297,247528,25000
MISC,0.0,0.0,0.0,0.0,,de,wikiann,wikiann-de.bio,237.11297,247528,25000
ORG,0.6761793826441468,0.29876479670612455,0.4144208459753704,11658.0,,de,wikiann,wikiann-de.bio,237.11297,247528,25000
PER,0.7096841884377295,0.7090146750524109,0.7093492737664517,9540.0,,de,wikiann,wikiann-de.bio,237.11297,247528,25000
overall,0.6141200899809656,0.5131578947368421,0.5591177628987791,,0.8568727578294173,de,wikiann,wikiann-de.bio,237.11297,247528,25000
LOC,0.8096646942800789,0.7986381322957199,0.8041136141038199,1028.0,,hu,nerkor,nerkor,37.678487,103025,6752
MISC,0.6614173228346457,0.43523316062176165,0.525,579.0,,hu,nerkor,nerkor,37.678487,103025,6752
ORG,0.7588597842835131,0.8127062706270627,0.7848605577689243,1212.0,,hu,nerkor,nerkor,37.678487,103025,6752
PER,0.8797672915319974,0.850625,0.8649507467429298,1600.0,,hu,nerkor,nerkor,37.678487,103025,6752
overall,0.8063679245283019,0.7737044580221769,0.7896985795126457,,0.9838485804416404,hu,nerkor,nerkor,37.678487,103025,6752
LOC,0.7751465230476794,0.6856042031523643,0.7276309430876176,14275.0,,hu,wikiann,wikiann-hu.bio,233.478068,225045,25000
MISC,0.0,0.0,0.0,0.0,,hu,wikiann,wikiann-hu.bio,233.478068,225045,25000
ORG,0.49825592069028823,0.29778362958086463,0.3727765950140788,9114.0,,hu,wikiann,wikiann-hu.bio,233.478068,225045,25000
PER,0.6820052925610115,0.778943833431282,0.7272584754066237,11911.0,,hu,wikiann,wikiann-hu.bio,233.478068,225045,25000
overall,0.6637308383872246,0.6169688385269122,0.6394961314286554,,0.8533404430225066,hu,wikiann,wikiann-hu.bio,233.478068,225045,25000
LOC,0.8007334963325183,0.7546082949308756,0.7769869513641756,868.0,,it,kind,WN,157.406963,56519,2088
ORG,0.793351302785265,0.7024661893396977,0.7451476793248946,1257.0,,it,kind,WN,157.406963,56519,2088
PER,0.876770538243626,0.8958031837916064,0.886184681460272,1382.0,,it,kind,WN,157.406963,56519,2088
overall,0.8303918635955728,0.7915597376675221,0.8105109489051093,,0.973477945469665,it,kind,WN,157.406963,56519,2088
LOC,0.7843137254901961,0.8,0.792079207920792,100.0,,it,kind,ADG,32.804446,13905,521
ORG,0.8174603174603174,0.4497816593886463,0.5802816901408451,229.0,,it,kind,ADG,32.804446,13905,521
PER,0.8843537414965986,0.7738095238095238,0.8253968253968255,168.0,,it,kind,ADG,32.804446,13905,521
overall,0.8346666666666667,0.6297786720321932,0.7178899082568808,,0.9786407766990292,it,kind,ADG,32.804446,13905,521
LOC,0.3835616438356164,0.7567567567567568,0.5090909090909091,37.0,,it,kind,FIC,65.811764,27190,1517
ORG,0.0,0.0,0.0,1.0,,it,kind,FIC,65.811764,27190,1517
PER,0.898989898989899,0.651219512195122,0.7553041018387554,410.0,,it,kind,FIC,65.811764,27190,1517
overall,0.7783641160949868,0.6584821428571429,0.713422007255139,,0.992313350496506,it,kind,FIC,65.811764,27190,1517
LOC,0.5811729461919576,0.5958653278204371,0.5884274381707886,8465.0,,it,wikiann,wikiann-it.bio,850.003047,204846,25000
ORG,0.5421446384039901,0.2704316457270805,0.3608598223918998,8039.0,,it,wikiann,wikiann-it.bio,850.003047,204846,25000
PER,0.8546260579192815,0.8346359291537813,0.8445127154804574,17785.0,,it,wikiann,wikiann-it.bio,850.003047,204846,25000
overall,0.7339809701244261,0.6434133395549593,0.6857196139680171,,0.8422717553674468,it,wikiann,wikiann-it.bio,850.003047,204846,25000
LOC,0.7288702928870293,0.8979381443298969,0.8046189376443419,970.0,,es,ancora,ancora-es-2.0,20.243853,81226,2603
MISC,0.39213349225268174,0.7528604118993135,0.5156739811912227,437.0,,es,ancora,ancora-es-2.0,20.243853,81226,2603
ORG,0.9552238805970149,0.8465608465608465,0.8976157082748947,1512.0,,es,ancora,ancora-es-2.0,20.243853,81226,2603
